ID_Alumno,Promedio,Parcial,Asistencia,Horas_Estudio,Accesos_Moodle,Tareas_Entregadas,Participacion_Clase,Calificacion_Final,Resultado
A074,79.0,95.7,87.1,5.7,13,10,7,74.2,Aprueba
A075,74.7,87.3,89.1,13.6,30,10,10,95.8,Aprueba
A076,81.3,84.4,83.7,4.2,24,12,4,81.2,Aprueba
A077,67.9,61.8,90.3,5.4,9,10,6,65.5,Reprueba
A078,74.9,66.0,75.1,2.7,15,7,9,66.4,Reprueba
A079,80.5,90.0,86.2,13.5,24,12,9,85.6,Aprueba
A080,69.3,71.4,100.0,2.9,7,5,8,51.3,Reprueba
A081,78.5,82.3,87.3,7.7,17,6,7,74.1,Aprueba
A082,65.1,51.1,92.2,10.5,19,12,8,86.4,Aprueba
A083,68.6,76.1,82.8,8.1,16,10,8,74.1,Aprueba
A084,68.4,72.1,86.6,6.5,11,10,6,75.9,Aprueba
A085,58.6,49.8,78.1,5.6,5,6,8,52.6,Reprueba
A086,78.8,75.1,84.2,2.2,0,8,4,63.6,Reprueba
A087,67.4,69.5,75.3,13.2,26,12,8,81.6,Aprueba
A088,73.1,73.6,87.0,6.2,11,11,7,80.0,Aprueba
A089,78.8,76.4,78.8,5.4,9,9,5,69.6,Reprueba
A090,78.4,77.5,90.8,2.5,8,8,7,64.2,Reprueba
A091,81.0,79.0,95.0,5.5,16,9,6,70.9,Aprueba
A092,71.8,73.0,86.1,5.2,12,5,5,57.5,Reprueba
A093,67.9,79.7,79.5,13.6,20,11,7,77.2,Aprueba
A094,72.0,51.5,86.8,5.4,18,11,5,70.6,Aprueba
A095,52.8,50.9,74.0,5.5,20,5,7,49.2,Reprueba
A096,55.6,57.0,85.0,2.5,10,7,4,69.0,Reprueba
A097,57.1,59.5,63.3,3.2,13,5,6,41.1,Reprueba
A098,61.0,58.1,76.7,7.2,20,7,4,64.8,Reprueba
A099,77.8,63.7,69.3,1.4,12,7,4,56.2,Reprueba
A100,62.1,64.8,67.8,9.3,20,5,5,55.8,Reprueba
A101,68.5,82.3,92.9,9.4,20,12,10,91.1,Aprueba
A102,88.6,76.3,96.2,3.0,11,11,8,68.0,Reprueba
A103,68.7,75.6,76.3,6.5,8,8,6,71.1,Aprueba
A104,81.9,79.2,74.6,10.7,23,5,8,80.5,Aprueba
A105,61.8,61.3,55.9,4.9,4,5,1,39.9,Reprueba
A106,70.5,62.1,78.3,4.4,6,11,6,65.0,Reprueba
A107,61.6,58.9,98.9,4.7,17,5,10,64.8,Reprueba
A108,68.9,79.3,85.6,6.2,17,9,7,74.5,Aprueba
A109,83.1,87.7,82.6,3.5,16,6,7,72.1,Aprueba
A110,52.3,66.1,80.0,4.1,8,10,7,54.0,Reprueba
A111,78.2,87.6,72.9,6.3,7,7,8,74.0,Aprueba
A112,75.9,79.4,82.2,3.9,8,10,3,70.3,Aprueba
A113,65.9,79.8,81.9,2.4,8,9,3,61.5,Reprueba
A114,55.6,59.2,76.8,1.3,6,11,6,57.5,Reprueba
A115,73.9,80.5,90.2,5.4,17,9,6,73.1,Aprueba
A116,66.6,64.3,84.1,10.4,17,11,10,75.8,Aprueba
A117,75.8,76.3,89.9,6.7,15,7,7,77.5,Aprueba
A118,73.3,67.7,78.1,2.4,2,10,2,53.1,Reprueba
A119,92.2,100.0,97.5,3.2,11,8,5,86.5,Aprueba
A120,70.1,60.7,95.6,4.3,10,9,2,58.5,Reprueba
A121,60.7,67.0,71.5,13.9,20,10,7,73.2,Aprueba
A122,75.2,73.6,77.2,14.3,23,8,7,90.2,Aprueba
A123,75.6,85.0,95.2,13.4,22,12,8,100.0,Aprueba
A124,89.3,95.3,87.7,5.8,11,12,9,87.9,Aprueba
A125,83.0,97.6,98.3,16.0,35,12,10,100.0,Aprueba
A126,77.3,83.1,81.5,3.3,8,5,6,59.3,Reprueba
A127,90.6,78.0,100.0,4.2,9,10,4,77.6,Aprueba
A128,58.7,58.2,79.6,8.9,6,11,8,65.8,Reprueba
A129,65.3,55.9,82.9,6.3,8,6,8,63.6,Reprueba
A130,61.9,57.7,92.2,6.5,12,8,8,67.7,Reprueba
A131,68.3,80.4,79.0,2.7,4,10,8,66.0,Reprueba
A132,56.5,61.6,70.2,5.1,18,9,4,55.9,Reprueba
A133,80.6,75.0,82.6,3.4,8,9,10,72.1,Aprueba
A134,70.3,62.2,86.2,2.0,13,12,5,72.7,Aprueba
A135,55.4,55.6,64.8,3.6,9,8,7,52.0,Reprueba
A136,60.8,51.1,84.4,6.3,13,11,4,63.9,Reprueba
A137,76.8,71.4,80.6,8.1,15,12,5,73.0,Aprueba
A138,83.1,85.6,96.3,1.2,6,9,10,74.0,Aprueba
A139,97.0,100.0,72.8,5.3,20,7,6,80.5,Aprueba
A140,98.0,100.0,86.0,5.0,0,10,8,88.1,Aprueba
A141,78.0,59.6,71.8,6.1,3,9,6,65.3,Reprueba
A142,61.1,63.6,72.8,2.5,5,7,5,48.5,Reprueba
A143,47.4,48.0,76.6,2.5,8,6,8,57.1,Reprueba
A144,76.2,79.5,83.2,10.5,22,12,7,80.5,Aprueba
A145,63.2,76.2,78.1,3.0,11,9,3,62.7,Reprueba
A146,68.0,51.5,80.5,4.1,8,7,5,61.5,Reprueba
A147,65.7,60.9,82.6,4.4,15,11,7,66.9,Reprueba
A148,71.3,76.0,74.9,3.4,14,8,7,73.9,Aprueba
A149,85.8,73.1,93.7,7.1,15,10,5,74.5,Aprueba
A150,74.9,86.7,89.5,6.7,18,11,6,78.0,Aprueba
A151,71.1,74.0,86.0,4.9,12,7,6,66.5,Reprueba
A152,60.6,67.3,83.7,3.5,6,9,6,58.3,Reprueba
A153,52.9,48.3,78.9,4.6,14,12,4,66.7,Reprueba
A154,67.2,73.7,97.8,5.6,12,11,6,77.8,Aprueba
A155,72.4,80.9,82.6,3.2,9,8,5,77.8,Aprueba
A156,94.2,96.1,88.5,7.4,22,9,9,100.0,Aprueba
A157,74.6,76.4,78.1,9.3,5,9,8,67.0,Reprueba
A158,84.8,87.0,79.4,11.5,13,10,7,85.2,Aprueba
A159,67.0,60.1,71.5,11.1,14,9,6,65.1,Reprueba
A160,58.8,57.6,71.5,4.4,8,10,6,58.7,Reprueba
A161,61.4,60.2,78.9,5.7,11,5,5,50.6,Reprueba
A162,64.3,67.4,83.2,4.8,3,11,5,58.5,Reprueba
A163,98.0,100.0,92.7,4.8,6,9,5,74.5,Aprueba
A164,63.1,54.7,74.0,4.6,6,9,5,56.3,Reprueba
A165,83.1,82.1,94.3,5.4,24,8,5,72.5,Aprueba
A166,62.2,74.0,85.7,10.1,27,12,8,85.3,Aprueba
A167,84.2,78.2,86.2,6.4,11,12,8,76.9,Aprueba
A168,77.6,71.0,79.9,2.4,6,10,3,76.5,Aprueba
A169,71.1,72.7,87.3,9.0,11,7,7,71.4,Aprueba
A170,72.5,79.3,84.9,6.1,3,11,6,70.9,Aprueba
A171,65.1,65.2,69.2,7.1,13,9,7,62.4,Reprueba
A172,78.4,89.0,84.9,6.3,8,6,7,83.6,Aprueba
A173,67.5,74.4,83.7,6.5,13,9,4,76.1,Aprueba
A174,58.3,65.0,71.2,6.7,5,9,4,60.6,Reprueba
A175,57.7,62.1,79.7,1.5,2,9,6,49.4,Reprueba
A176,75.1,93.7,72.6,7.0,15,9,8,81.0,Aprueba
A177,91.9,90.3,100.0,3.3,10,10,3,74.1,Aprueba
A178,74.9,58.9,94.2,3.9,12,12,8,80.1,Aprueba
A179,71.6,84.4,81.0,5.3,5,11,9,77.1,Aprueba
A180,76.4,72.8,87.7,12.5,26,6,7,79.9,Aprueba
A181,88.7,89.5,69.8,2.7,4,7,6,56.6,Reprueba
A182,75.6,86.1,75.2,5.2,14,8,5,68.7,Reprueba
A183,68.1,55.3,79.5,4.5,10,5,6,56.7,Reprueba
A184,86.3,76.3,79.6,9.0,10,10,4,83.2,Aprueba
A185,78.1,65.3,91.1,4.5,9,12,3,76.7,Aprueba
A186,91.4,85.1,100.0,6.1,14,8,9,75.9,Aprueba
A187,75.2,78.7,74.9,2.7,11,9,4,70.2,Aprueba
A188,58.3,62.5,71.7,9.8,17,8,6,72.8,Aprueba
A189,56.6,58.8,79.7,1.9,14,7,4,49.9,Reprueba
A190,92.8,81.5,100.0,7.0,19,12,5,85.5,Aprueba
A191,93.7,75.2,81.0,6.1,11,8,6,77.4,Aprueba
A192,70.8,71.3,84.8,6.7,17,11,6,73.6,Aprueba
A193,68.4,64.6,96.5,1.9,16,5,8,49.7,Reprueba
A194,90.5,94.2,76.5,4.4,20,12,7,83.3,Aprueba
A195,59.7,65.3,68.7,8.7,10,10,7,67.6,Reprueba
A196,62.3,63.4,76.4,13.6,18,10,8,75.8,Aprueba
A197,80.7,86.8,82.1,5.0,18,10,9,78.4,Aprueba
A198,68.3,70.1,88.4,8.3,10,7,5,67.9,Reprueba
A199,72.9,77.2,85.5,5.8,5,12,7,71.9,Aprueba
A200,71.0,65.4,68.7,5.1,9,7,8,68.3,Reprueba
